FIGI,TICKER,LOT,NAME,SECTOR,FIRST_TRADE_YEAR,PRICE_ANALYZE,VOLUME_ANALYZE,FIRST_DAY_ANALYZE,OVERALL_ANALYZE,NOWADAY_PRICE
BBG003LYCMB1,SFIN,1,ЭсЭфАй,financial,2015,1.0,0.11886840170856076,0.3333333333333333,1.0,1482.2
TCS00A0JR6A6,RBCM,100,РБК,telecom,2011,0.8328953342845412,0.10781135172164036,0.48148148148148145,0.8617327412335155,12.685
BBG004S683W7,AFLT,10,Аэрофлот,consumer,2000,0.5589732279869615,0.1550240462126301,0.8888888888888888,0.6741937678766885,63.86
TCS00A107T19,YDEX,1,Яндекс,it,2014,0.6102300187356025,0.13313489001396825,0.37037037037037035,0.6472345581441958,3712.0
BBG004S68C39,LSRG,1,Группа ЛСР,real_estate,2007,0.5020609317137719,0.33095324869451276,0.6296296296296297,0.6336836820621373,772.0
BBG004S68614,AFKS,100,АФК Система,financial,2007,0.5321721075202717,0.22444107806473565,0.6296296296296297,0.6333861214886438,14.562
BBG000QJW156,BSPB,10,Банк Санкт-Петербург,financial,2007,0.5788693089185715,0.03893229833887512,0.6296296296296297,0.6275389136601004,353.97
TCS5407L2079,SFTL,1,Noventiq ГДР,it,2023,0.34624081336965673,1.0,0.037037037037037035,0.5879469371902323,61.15
BBG000MZL2S9,PMSBP,10,Пермэнергосбыт - акции привилегированные,utilities,2007,0.512193623663545,0.1222878375226954,0.6296296296296297,0.587792989593633,263.2
BBG0063FKTD9,LENT,1,Лента,consumer,2021,0.5872850894557001,0.11575445744045335,0.1111111111111111,0.5870054046031706,1043.0
BBG004RVFFC0,TATN,1,Татнефть,energy,2001,0.48862632667232975,0.0670111870110694,0.8518518518518519,0.5807316184722949,576.1
BBG004S68758,BANE,1,Башнефть,energy,2011,0.5432340799684591,0.04858421217591124,0.48148148148148145,0.5774236329040868,2373.0
BBG000MZL0Y6,PMSB,10,Пермэнергосбыт,utilities,2006,0.49222526393145444,0.10835483500419292,0.6666666666666666,0.5704903517668959,242.6
BBG000NLCCM3,LSNGP,10,Ленэнерго - акции привилегированные,utilities,2000,0.45369714923627186,0.1300690847542541,0.8888888888888888,0.5699543344318383,197.15
BBG000R607Y3,PLZL,1,Полюс,materials,2006,0.48816734539512274,0.11323725154921699,0.6666666666666666,0.5680208800503319,14365.5
BBG00F9XX7H4,RNFT,1,РуссНефть,energy,2016,0.5012453464713856,0.24534698116157924,0.2962962962962963,0.566086049473711,137.75
BBG00475K6C3,CHMF,1,Северсталь,materials,2005,0.4953014173468273,0.061156898051191545,0.7037037037037037,0.5657442210527996,1235.0
