TICKER,AMOUNT,PRICE_PER_SHARE,TOTAL_PRICE,NAME
SFIN,1,1482.2,1482.2,ЭсЭфАй
RBCM,39,12.685,494.71500000000003,РБК
AFLT,7,63.86,447.02,Аэрофлот
YDEX,1,3712.0,3712.0,Яндекс
LSRG,1,772.0,772.0,Группа ЛСР
AFKS,34,14.562,495.108,АФК Система
BSPB,1,353.97,353.97,Банк Санкт-Петербург
SFTL,8,61.15,489.2,Noventiq ГДР
PMSBP,1,263.2,263.2,Пермэнергосбыт - акции привилегированные
LENT,1,1043.0,1043.0,Лента
TATN,1,576.1,576.1,Татнефть
BANE,1,2373.0,2373.0,Башнефть
PMSB,2,242.6,485.2,Пермэнергосбыт
LSNGP,2,197.15,394.3,Ленэнерго - акции привилегированные
PLZL,1,14365.5,14365.5,Полюс
RNFT,3,137.75,413.25,РуссНефть
CHMF,1,1235.0,1235.0,Северсталь
SNGSP,8,57.15,457.2,Сургутнефтегаз - привилегированные акции
RTKM,7,64.16,449.12,Ростелеком
GCHE,1,4046.0,4046.0,Группа Черкизово
PIKK,1,491.0,491.0,ПИК
UWGN,8,57.5,460.0,ОВК
SBERP,1,252.84,252.84,Сбер Банк - привилегированные акции
SBER,1,253.43,253.43,Сбер Банк
OZON,1,3458.5,3458.5,Ozon Holdings PLC
MGNT,1,4822.5,4822.5,Магнит
TATNP,1,575.4,575.4,Татнефть - привилегированные акции
POSI,2,2077.8,4155.6,Группа Позитив
AMEZ,6,76.6,459.59999999999997,Ашинский метзавод
SVCB,36,13.67,492.12,Совкомбанк
RTKMP,3,58.9,176.7,Ростелеком - Привилегированные акции
MSRS,48,1.146,55.007999999999996,Россети Московский регион
